ID,SAMPLES,date,TIME,X_axis,Y_axis,Z_axis,TEMP,MAC_ID,None
6,1,01-07-2019,1,-52,-26,358,32,8cb1190709cc, 
6,2,02-07-2019,2,-16,22,188,32,8cb1190709cc, 
6,3,03-07-2019,3,44,-18,272,32,8cb1190709cc, 
6,4,04-07-2019,4,-48,-32,290,32,8cb1190709cc, 
6,5,05-07-2019,5,-10,56,256,32,8cb1190709cc, 
6,6,06-07-2019,6,52,12,134,32,8cb1190709cc, 
6,7,07-07-2019,7,-58,-46,398,32,8cb1190709cc, 
6,8,08-07-2019,8,0,8,192,32,8cb1190709cc, 
6,9,09-07-2019,9,52,12,204,32,8cb1190709cc, 
6,10,10-07-2019,10,-14,-12,244,32,8cb1190709cc, 
6,11,11-07-2019,11,-42,42,282,32,8cb1190709cc, 
6,12,12-07-2019,12,58,24,104,32,8cb1190709cc, 
6,13,13-07-2019,13,-30,-64,376,32,8cb1190709cc, 
6,14,14-07-2019,14,-32,24,204,32,8cb1190709cc, 
6,15,15-07-2019,15,40,46,196,32,8cb1190709cc, 
6,16,16-07-2019,16,-18,-26,250,32,8cb1190709cc, 
6,17,17-07-2019,17,-74,-18,350,32,8cb1190709cc, 
6,18,18-07-2019,18,32,20,144,32,8cb1190709cc, 
6,19,19-07-2019,19,-38,-54,380,32,8cb1190709cc, 
6,20,20-07-2019,20,16,48,160,32,8cb1190709cc, 
6,21,21-07-2019,21,-26,-68,288,32,8cb1190709cc, 
6,22,22-07-2019,22,30,24,152,32,8cb1190709cc, 
6,23,23-07-2019,23,-10,-32,330,32,8cb1190709cc, 
6,24,24-07-2019,24,-8,38,158,32,8cb1190709cc, 
6,25,25-07-2019,25,2,-64,268,32,8cb1190709cc, 
6,26,26-07-2019,26,-16,32,216,32,8cb1190709cc, 
6,27,27-07-2019,27,14,-20,282,32,8cb1190709cc, 
6,28,28-07-2019,28,-32,12,232,32,8cb1190709cc, 
6,29,29-07-2019,29,46,-14,232,32,8cb1190709cc, 
6,30,30-07-2019,30,-58,-12,330,32,8cb1190709cc, 
6,31,31-07-2019,31,56,28,102,32,8cb1190709cc, 
6,32,01-08-2019,32,-42,-52,344,32,8cb1190709cc, 
6,1,02-08-2019,33,2,-50,284,31,8cb1190709cc, 
6,2,03-08-2019,34,-52,26,312,31,8cb1190709cc, 
6,3,04-08-2019,35,30,42,110,31,8cb1190709cc, 
6,4,05-08-2019,36,-12,-52,344,31,8cb1190709cc, 
6,5,06-08-2019,37,-22,8,238,31,8cb1190709cc, 
6,6,07-08-2019,38,46,4,168,31,8cb1190709cc, 
6,7,08-08-2019,39,0,-30,254,31,8cb1190709cc, 
6,8,09-08-2019,40,-30,32,254,31,8cb1190709cc, 
6,9,10-08-2019,41,26,38,118,31,8cb1190709cc, 
6,10,11-08-2019,42,-10,-66,320,31,8cb1190709cc, 
6,11,12-08-2019,43,-30,2,286,31,8cb1190709cc, 
6,12,13-08-2019,44,10,30,124,31,8cb1190709cc, 
6,13,14-08-2019,45,-10,-4,290,31,8cb1190709cc, 
6,14,15-08-2019,46,-46,-14,258,31,8cb1190709cc, 
6,15,16-08-2019,47,12,34,202,31,8cb1190709cc, 
6,16,17-08-2019,48,0,-60,260,31,8cb1190709cc, 
6,17,18-08-2019,49,-56,-2,366,31,8cb1190709cc, 
6,18,19-08-2019,50,6,30,210,31,8cb1190709cc, 
6,19,20-08-2019,51,-34,-38,270,31,8cb1190709cc, 
6,20,21-08-2019,52,12,20,226,31,8cb1190709cc, 
6,21,22-08-2019,53,4,-46,308,31,8cb1190709cc, 
6,22,23-08-2019,54,0,60,114,31,8cb1190709cc, 
6,23,24-08-2019,55,10,-56,320,31,8cb1190709cc, 
6,24,25-08-2019,56,-6,46,258,31,8cb1190709cc, 
6,25,26-08-2019,57,0,-32,252,31,8cb1190709cc, 
6,26,27-08-2019,58,0,26,184,31,8cb1190709cc, 
6,27,28-08-2019,59,4,-42,328,31,8cb1190709cc, 
6,28,29-08-2019,60,-30,26,316,31,8cb1190709cc, 
6,29,30-08-2019,61,18,-24,182,31,8cb1190709cc, 
6,30,31-08-2019,62,-32,0,244,31,8cb1190709cc, 
6,31,01-09-2019,63,38,16,170,31,8cb1190709cc, 
6,32,02-09-2019,64,-40,-38,262,31,8cb1190709cc, 
6,1,03-09-2019,65,32,48,194,31,8cb1190709cc, 
6,2,04-09-2019,66,6,-22,188,31,8cb1190709cc, 
6,3,05-09-2019,67,-58,-14,414,31,8cb1190709cc, 
6,4,06-09-2019,68,12,64,68,31,8cb1190709cc, 
6,5,07-09-2019,69,16,-14,340,31,8cb1190709cc, 
6,6,08-09-2019,70,-52,-66,306,31,8cb1190709cc, 
6,7,09-09-2019,71,26,28,272,31,8cb1190709cc, 
6,8,10-09-2019,72,26,14,122,31,8cb1190709cc, 
6,9,11-09-2019,73,-58,-40,420,31,8cb1190709cc, 
6,10,12-09-2019,74,10,32,114,31,8cb1190709cc, 
6,11,13-09-2019,75,20,-2,270,31,8cb1190709cc, 
6,12,14-09-2019,76,0,-58,240,31,8cb1190709cc, 
6,13,15-09-2019,77,-16,50,268,31,8cb1190709cc, 
6,14,16-09-2019,78,46,40,38,31,8cb1190709cc, 
6,15,17-09-2019,79,-10,-72,390,31,8cb1190709cc, 
6,16,18-09-2019,80,-32,0,230,31,8cb1190709cc, 
6,17,19-09-2019,81,10,4,140,31,8cb1190709cc, 
6,18,20-09-2019,82,0,-36,278,31,8cb1190709cc, 
6,19,21-09-2019,83,6,64,202,31,8cb1190709cc, 
6,20,22-09-2019,84,-18,-72,408,31,8cb1190709cc, 
6,21,23-09-2019,85,6,30,154,31,8cb1190709cc, 
6,22,24-09-2019,86,0,-6,278,31,8cb1190709cc, 
6,23,25-09-2019,87,-30,14,288,31,8cb1190709cc, 
6,24,26-09-2019,88,38,-54,238,31,8cb1190709cc, 
6,25,27-09-2019,89,-18,58,152,31,8cb1190709cc, 
6,26,28-09-2019,90,32,-16,242,31,8cb1190709cc, 
6,27,29-09-2019,91,-20,2,318,31,8cb1190709cc, 
6,28,30-09-2019,92,20,-6,186,31,8cb1190709cc, 
6,29,01-10-2019,93,-24,18,236,31,8cb1190709cc, 
6,30,02-10-2019,94,8,42,172,31,8cb1190709cc, 
6,31,03-10-2019,95,-22,-78,336,31,8cb1190709cc, 
6,32,04-10-2019,96,24,44,128,31,8cb1190709cc, 
6,1,05-10-2019,97,-28,-10,286,32,8cb1190709cc, 
6,2,06-10-2019,98,4,50,120,32,8cb1190709cc, 
6,3,07-10-2019,99,34,-26,300,32,8cb1190709cc, 
6,4,08-10-2019,100,-40,-4,292,32,8cb1190709cc, 
6,5,09-10-2019,101,0,38,134,32,8cb1190709cc, 
6,6,10-10-2019,102,18,-22,296,32,8cb1190709cc, 
6,7,11-10-2019,103,-42,-16,244,32,8cb1190709cc, 
6,8,12-10-2019,104,-22,76,214,32,8cb1190709cc, 
6,9,13-10-2019,105,32,-26,230,32,8cb1190709cc, 
6,10,14-10-2019,106,-56,-30,374,32,8cb1190709cc, 
6,11,15-10-2019,107,0,38,122,32,8cb1190709cc, 
6,12,16-10-2019,108,14,0,258,32,8cb1190709cc, 
6,13,17-10-2019,109,-14,-40,226,32,8cb1190709cc, 
6,14,18-10-2019,110,-14,52,256,32,8cb1190709cc, 
6,15,19-10-2019,111,42,-12,144,32,8cb1190709cc, 
6,16,20-10-2019,112,-32,-78,386,32,8cb1190709cc, 
6,17,21-10-2019,113,0,62,158,32,8cb1190709cc, 
6,18,22-10-2019,114,26,-10,340,32,8cb1190709cc, 
6,19,23-10-2019,115,-28,24,338,32,8cb1190709cc, 
6,20,24-10-2019,116,18,30,52,32,8cb1190709cc, 
6,21,25-10-2019,117,-44,-38,320,32,8cb1190709cc, 
6,22,26-10-2019,118,-12,28,132,32,8cb1190709cc, 
6,23,27-10-2019,119,-20,-70,274,32,8cb1190709cc, 
6,24,28-10-2019,120,24,38,94,32,8cb1190709cc, 
6,25,29-10-2019,121,-38,-64,388,32,8cb1190709cc, 
6,26,30-10-2019,122,0,18,102,32,8cb1190709cc, 
6,27,31-10-2019,123,12,-84,306,32,8cb1190709cc, 
6,28,01-11-2019,124,2,68,152,32,8cb1190709cc, 
6,29,02-11-2019,125,6,-88,436,32,8cb1190709cc, 
6,30,03-11-2019,126,0,48,144,32,8cb1190709cc, 
6,31,04-11-2019,127,20,-52,342,32,8cb1190709cc, 
6,32,05-11-2019,128,-44,28,278,32,8cb1190709cc, 
6,1,06-11-2019,129,40,32,96,32,8cb1190709cc, 
6,2,07-11-2019,130,0,-70,406,32,8cb1190709cc, 
6,3,08-11-2019,131,-42,46,238,32,8cb1190709cc, 
6,4,09-11-2019,132,10,12,92,32,8cb1190709cc, 
6,5,10-11-2019,133,24,-40,374,32,8cb1190709cc, 
6,6,11-11-2019,134,-60,30,254,32,8cb1190709cc, 
6,7,12-11-2019,135,34,42,110,32,8cb1190709cc, 
6,8,13-11-2019,136,0,-62,400,32,8cb1190709cc, 
6,9,14-11-2019,137,-44,6,302,32,8cb1190709cc, 
6,10,15-11-2019,138,2,20,-4,32,8cb1190709cc, 
6,11,16-11-2019,139,22,-16,434,32,8cb1190709cc, 
6,12,17-11-2019,140,-38,-32,132,32,8cb1190709cc, 
6,13,18-11-2019,141,6,46,258,32,8cb1190709cc, 
6,14,19-11-2019,142,32,-56,242,32,8cb1190709cc, 
6,15,20-11-2019,143,-52,-36,320,32,8cb1190709cc, 
6,16,21-11-2019,144,12,82,36,32,8cb1190709cc, 
6,17,22-11-2019,145,42,-2,344,32,8cb1190709cc, 
6,18,23-11-2019,146,-36,-6,250,32,8cb1190709cc, 
6,19,24-11-2019,147,40,-14,120,32,8cb1190709cc, 
6,20,25-11-2019,148,-46,16,282,32,8cb1190709cc, 
6,21,26-11-2019,149,-4,-12,210,32,8cb1190709cc, 
6,22,27-11-2019,150,-50,-44,218,32,8cb1190709cc, 
6,23,28-11-2019,151,26,28,6,32,8cb1190709cc, 
6,24,29-11-2019,152,-44,-54,310,32,8cb1190709cc, 
6,25,30-11-2019,153,10,-4,110,32,8cb1190709cc, 
6,26,01-12-2019,154,-16,-50,216,32,8cb1190709cc, 
6,27,02-12-2019,155,-8,88,226,32,8cb1190709cc, 
6,28,03-12-2019,156,48,-58,390,32,8cb1190709cc, 
6,29,04-12-2019,157,-12,74,188,32,8cb1190709cc, 
6,30,05-12-2019,158,30,-16,390,32,8cb1190709cc, 
6,31,06-12-2019,159,-32,56,278,32,8cb1190709cc, 
6,32,07-12-2019,160,32,-40,284,32,8cb1190709cc, 
6,1,08-12-2019,161,0,-82,260,32,8cb1190709cc, 
6,2,09-12-2019,162,-56,88,336,32,8cb1190709cc, 
